Type	|V|   	|E|   	dmax   	davg   	r   	|T|   	Tavg   	Tmax   	κavg   	κ   	K   	ωheu   	Size	Download
bio	16K	763K	1K	93	0.32	46M	3K	87K	0.19	0.20	165	35	4 MB	    Download
bio	453	5K	634	20	-0.07	245K	541	27K	3.26	0.35	115	9	10 KB	    Download
bio	453	2K	237	8	-0.23	10K	21	870	0.65	0.12	11	9	7 KB	    Download
bio	516	1K	50	4	0.07	4K	7	152	0.64	0.43	11	11	5 KB	    Download
bio	7K	26K	190	6	-0.05	9K	1	225	0.01	0.01	12	7	85 KB	    Download
bio	2K	25K	878	24	-0.10	561K	276	9K	0.19	0.19	69	10	67 KB	    Download
bio	7K	50K	352	13	-0.04	61K	8	1K	0.02	0.03	25	7	158 KB	    Download
bio	9K	62K	616	13	-0.07	206K	21	2K	0.09	0.06	25	9	194 KB	    Download
bio	1K	3K	222	4	-0.15	1K	-	100	0.03	0.02	13	7	10 KB	    Download
bio	2K	6K	142	7	0.06	30K	17	1K	0.12	0.23	25	9	18 KB	    Download
bio	4K	13K	1K	7	-0.17	25K	7	2K	0.04	0.02	21	7	38 KB	    Download
bio	6K	314K	5K	104	-0.08	11M	2K	145K	0.16	0.10	129	11	834 KB	    Download
bio	22K	12M	8K	1K	0.14	20B	934K	9M	0.62	0.57	2K	1K	138 MB	    Download
bio	14K	9M	7K	1K	0.08	15B	105M	7M	0.65	0.59	2K	1K	59 MB	    Download
bio	43K	14M	8K	670	0.00	11B	252K	4M	0.51	0.42	1K	418	155 MB	    Download
bio	2K	4K	112	4	-0.16	3K	1	72	0.05	0.05	11	6	17 KB	    Download
bio	1K	2K	56	2	-0.21	618	-	18	0.07	0.05	6	6	8 KB	    Download
bn	65	1K	72	35	0.01	28K	433	1K	0.71	0.60	27	11	6 KB	    Download
bn	2K	34K	16K	37	-0.33	11M	6K	737K	3.87	0.08	329	6	63 KB	    Download
bn	696K	143M	15K	411	0.44	60B	86K	8M	0.52	0.32	1K	106	366 MB	    Download
bn	693K	134M	8K	385	0.47	51B	74K	4M	0.52	0.32	1K	129	342 MB	    Download
bn	735K	166M	8K	451	0.35	62B	85K	5M	0.51	0.31	1K	218	425 MB	    Download
bn	715K	155M	10K	434	0.35	55B	77K	4M	0.51	0.31	955	98	399 MB	    Download
bn	747K	145M	8K	388	0.38	49B	66K	4M	0.51	0.31	881	123	374 MB	    Download
bn	735K	155M	7K	420	0.51	58B	79K	5M	0.51	0.31	1K	183	398 MB	    Download
bn	727K	150M	8K	413	0.43	57B	78K	4M	0.52	0.30	1K	198	385 MB	    Download
bn	728K	159M	11K	435	0.52	69B	94K	5M	0.51	0.29	1K	153	407 MB	    Download
bn	691K	135M	10K	391	0.40	54B	78K	6M	0.53	0.32	1K	132	345 MB	    Download
bn	716K	152M	12K	423	0.46	73B	102K	7M	0.53	0.32	1K	214	386 MB	    Download
bn	797K	149M	8K	373	0.40	53B	66K	3M	0.51	0.31	912	142	382 MB	    Download
bn	811K	167M	10K	411	0.50	69B	85K	6M	0.51	0.29	1K	118	429 MB	    Download
bn	747K	169M	8K	451	0.42	68B	91K	5M	0.51	0.32	1K	224	430 MB	    Download
bn	735K	171M	9K	465	0.44	73B	99K	6M	0.51	0.32	1K	194	435 MB	    Download
bn	756K	167M	18K	440	0.49	109B	144K	18M	0.52	0.29	2K	242	421 MB	    Download
bn	769K	148M	10K	384	0.47	59B	77K	5M	0.52	0.32	1K	229	375 MB	    Download
bn	646K	150M	8K	463	0.39	57B	89K	4M	0.51	0.32	1K	124	378 MB	    Download
bn	692K	140M	9K	404	0.33	49B	71K	3M	0.52	0.34	889	83	354 MB	    Download
bn	769K	164M	10K	425	0.34	66B	86K	6M	0.51	0.29	1K	172	423 MB	    Download
bn	790K	140M	10K	355	0.56	60B	76K	7M	0.52	0.33	1K	176	362 MB	    Download
bn	779K	140M	10K	358	0.59	62B	80K	8M	0.52	0.32	2K	184	358 MB	    Download
bn	700K	128M	10K	365	0.35	41B	59K	3M	0.52	0.31	897	116	329 MB	    Download
bn	780K	158M	9K	405	0.42	58B	74K	5M	0.51	0.31	1K	147	405 MB	    Download
bn	705K	144M	9K	410	0.45	54B	76K	3M	0.52	0.32	1K	64	373 MB	    Download
bn	743K	132M	8K	355	0.37	44B	59K	3M	0.52	0.32	755	115	341 MB	    Download
bn	178K	16M	5K	176	-0.13	2B	11K	875K	0.46	0.17	387	72	40 MB	    Download
bn	724K	158M	11K	436	0.42	68B	94K	9M	0.51	0.29	1K	243	408 MB	    Download
bn	688K	115M	7K	333	0.37	34B	50K	4M	0.53	0.33	844	142	293 MB	    Download
bn	731K	148M	10K	405	0.42	61B	83K	6M	0.52	0.30	1K	188	384 MB	    Download
bn	782K	148M	9K	377	0.37	51B	65K	5M	0.52	0.32	1K	156	377 MB	    Download
bn	726K	184M	8K	506	0.40	81B	112K	5M	0.50	0.30	1K	139	471 MB	    Download
bn	693K	118M	6K	340	0.46	39B	56K	3M	0.52	0.33	969	181	304 MB	    Download
bn	693K	118M	6K	340	0.46	39B	56K	3M	0.52	0.33	969	181	304 MB	    Download
bn	701K	103M	11K	294	0.26	29B	41K	3M	0.53	0.34	601	172	265 MB	    Download
bn	715K	113M	7K	314	0.34	30B	43K	1M	0.53	0.34	562	87	289 MB	    Download
bn	706K	145M	11K	410	0.47	57B	81K	6M	0.52	0.30	1K	114	370 MB	    Download
bn	749K	160M	11K	427	0.52	70B	93K	7M	0.52	0.29	2K	196	407 MB	    Download
bn	712K	202M	16K	567	0.49	106B	149K	16M	0.50	0.28	2K	169	518 MB	    Download
bn	692K	146M	9K	423	0.26	49B	71K	3M	0.52	0.32	709	151	371 MB	    Download
bn	712K	192M	11K	540	0.30	88B	123K	10M	0.51	0.30	1K	188	487 MB	    Download
bn	277K	64M	12K	464	0.24	25B	89K	6M	0.49	0.26	952	171	163 MB	    Download
bn	728K	145M	8K	397	0.31	48B	65K	2M	0.52	0.32	754	146	367 MB	    Download
bn	777K	201M	10K	518	0.29	79B	102K	5M	0.50	0.30	961	132	512 MB	    Download
bn	695K	45M	11K	130	0.18	6B	8K	1M	0.55	0.34	384	102	115 MB	    Download
bn	806K	59M	8K	147	0.22	10B	12K	2M	0.56	0.30	452	113	149 MB	    Download
bn	935K	87M	9K	186	0.09	14B	15K	2M	0.57	0.32	368	88	216 MB	    Download
bn	816K	51M	7K	124	0.31	7B	8K	1M	0.56	0.34	402	54	128 MB	    Download
bn	840K	59M	10K	140	0.11	8B	10K	2M	0.55	0.29	461	90	148 MB	    Download
bn	707K	191M	9K	540	0.31	78B	110K	3M	0.51	0.31	965	180	482 MB	    Download
bn	851K	68M	7K	158	0.23	11B	12K	2M	0.56	0.32	484	126	170 MB	    Download
bn	738K	50M	5K	135	0.40	8B	10K	1M	0.55	0.32	524	98	126 MB	    Download
bn	850K	116M	8K	272	0.26	34B	40K	3M	0.54	0.32	683	179	289 MB	    Download
bn	734K	136M	8K	371	0.33	44B	60K	3M	0.52	0.33	842	89	347 MB	    Download
bn	781K	50M	10K	126	0.28	7B	9K	2M	0.55	0.31	561	102	127 MB	    Download
bn	818K	73M	9K	177	0.09	13B	16K	1M	0.57	0.31	476	52	180 MB	    Download
bn	746K	175M	8K	470	0.26	62B	83K	4M	0.51	0.31	768	130	445 MB	    Download
bn	741K	44M	6K	117	0.23	6B	8K	1M	0.56	0.31	447	108	110 MB	    Download
bn	751K	175M	12K	466	0.34	73B	97K	5M	0.51	0.31	1K	223	447 MB	    Download
bn	802K	61M	9K	151	0.28	11B	14K	3M	0.56	0.28	622	78	152 MB	    Download
bn	760K	143M	7K	377	0.28	45B	59K	2M	0.52	0.33	658	105	364 MB	    Download
bn	629K	41M	5K	129	0.28	6B	9K	1M	0.55	0.33	452	83	103 MB	    Download
bn	761K	52M	10K	137	0.28	8B	10K	2M	0.56	0.31	586	67	132 MB	    Download
bn	801K	176M	14K	438	0.23	66B	82K	8M	0.52	0.31	922	208	444 MB	    Download
bn	729K	171M	10K	469	0.25	65B	89K	5M	0.52	0.31	807	134	434 MB	    Download
bn	875K	62M	9K	142	0.19	10B	11K	2M	0.55	0.31	404	94	157 MB	    Download
bn	784K	268M	22K	683	0.19	125B	160K	15M	0.49	0.29	1K	193	676 MB	    Download
bn	960K	91M	6K	189	0.10	15B	15K	1M	0.57	0.32	398	88	225 MB	    Download
bn	724K	176M	13K	486	0.20	66B	91K	4M	0.51	0.31	788	115	444 MB	    Download
bn	878K	57M	13K	130	0.13	7B	8K	3M	0.56	0.31	397	72	144 MB	    Download
bn	691K	134M	8K	388	0.30	45B	66K	3M	0.52	0.32	716	111	342 MB	    Download
bn	330K	78M	12K	472	0.31	32B	99K	7M	0.49	0.27	1K	289	197 MB	    Download
bn	939K	124M	6K	264	0.34	34B	36K	2M	0.54	0.33	754	145	311 MB	    Download
bn	892K	49M	5K	109	0.39	5B	5K	757K	0.56	0.37	293	67	121 MB	    Download
bn	791K	122M	5K	308	0.34	34B	43K	2M	0.52	0.35	768	111	306 MB	    Download
bn	429K	79M	8K	368	0.13	21B	48K	2M	0.48	0.27	606	55	199 MB	    Download
bn	775K	182M	16K	468	0.28	75B	96K	10M	0.52	0.29	1K	234	462 MB	    Download
bn	795K	58M	7K	146	0.26	9B	12K	2M	0.55	0.32	492	147	147 MB	    Download
bn	841K	73M	12K	173	0.09	12B	14K	2M	0.57	0.30	397	83	182 MB	    Download
bn	317K	66M	6K	413	0.22	20B	64K	2M	0.50	0.27	784	106	167 MB	    Download
bn	836K	60M	5K	142	0.39	9B	11K	950K	0.55	0.34	461	119	150 MB	    Download
bn	690K	208M	10K	602	0.39	92B	134K	4M	0.49	0.29	1K	176	530 MB	    Download
bn	785K	51M	5K	129	0.30	7B	9K	817K	0.55	0.36	341	92	129 MB	    Download
bn	924K	94M	8K	204	0.09	17B	18K	2M	0.57	0.31	415	81	231 MB	    Download
bn	847K	54M	8K	127	0.17	7B	9K	2M	0.56	0.29	365	104	134 MB	    Download
bn	895K	51M	8K	114	0.26	7B	8K	2M	0.56	0.29	589	89	130 MB	    Download
bn	724K	43M	5K	119	0.25	5B	7K	992K	0.56	0.36	305	83	108 MB	    Download
bn	681K	144M	7K	423	0.25	47B	69K	2M	0.51	0.32	704	136	365 MB	    Download
bn	777K	161M	7K	414	0.27	55B	71K	3M	0.52	0.34	706	108	404 MB	    Download
bn	699K	42M	4K	121	0.30	5B	7K	555K	0.56	0.35	388	106	106 MB	    Download
bn	754K	210M	14K	557	0.37	102B	136K	12M	0.51	0.31	2K	187	532 MB	    Download
bn	827K	56M	8K	134	0.27	9B	11K	2M	0.55	0.33	500	88	141 MB	    Download
bn	763K	40M	4K	105	0.42	5B	6K	645K	0.55	0.38	309	82	102 MB	    Download
bn	779K	44M	4K	112	0.33	5B	7K	669K	0.56	0.36	323	80	112 MB	    Download
bn	801K	48M	6K	120	0.31	6B	8K	1M	0.56	0.34	343	79	121 MB	    Download
bn	849K	52M	7K	122	0.30	7B	8K	1M	0.56	0.32	495	74	131 MB	    Download
bn	976K	146M	8K	299	0.26	38B	38K	2M	0.54	0.34	672	89	359 MB	    Download
bn	398K	89M	6K	446	0.15	24B	61K	2M	0.46	0.26	800	84	225 MB	    Download
bn	725K	166M	7K	456	0.32	61B	84K	3M	0.51	0.33	789	138	418 MB	    Download
bn	797K	144M	12K	361	0.28	50B	63K	8M	0.53	0.32	1K	219	363 MB	    Download
bn	854K	74M	10K	173	0.11	13B	15K	2M	0.57	0.31	423	85	185 MB	    Download
bn	792K	209M	10K	527	0.27	88B	111K	5M	0.50	0.28	1K	235	532 MB	    Download
bn	823K	134M	5K	325	0.32	40B	48K	2M	0.53	0.35	664	163	338 MB	    Download
bn	862K	169M	7K	393	0.27	56B	66K	3M	0.52	0.32	835	123	426 MB	    Download
bn	862K	169M	7K	393	0.27	56B	66K	3M	0.52	0.32	835	123	426 MB	    Download
bn	827K	53M	8K	128	0.37	9B	10K	2M	0.56	0.31	723	112	133 MB	    Download
bn	242	4K	164	33	-0.05	78K	322	3K	0.53	0.36	26	8	20 KB	    Download
bn	91	628	96	13	-0.71	10K	109	792	1.63	0.37	16	12	4 KB	    Download
bn	91	2K	248	43	-0.34	86K	945	4K	1.30	0.56	35	21	9 KB	    Download
bn	93	3K	120	57	-0.53	174K	2K	4K	1.56	0.75	56	31	12 KB	    Download
bn	1K	2K	153	3	-0.22	-	-	-	-	-	6	7	6 KB	    Download
bn	213	22K	314	203	-0.04	4M	17K	31K	0.80	0.77	143	35	53 KB	    Download
bn	1K	577K	8K	1K	0.02	777M	722K	8M	1.55	0.61	1K	42	225 KB	    Download
bn	29	44	9	3	-0.47	3	-	1	0.05	0.02	3	2	2 KB	    Download
bn	193	214	31	2	-0.84	12	-	2	0.02	0.00	3	2	2 KB	    Download
ca	19K	198K	504	21	0.21	4M	215	11K	0.63	0.32	57	28	640 KB	    Download
ca	2K	2K	46	1	-0.20	24	-	4	0.01	0.00	3	3	8 KB	    Download
ca	23K	93K	279	8	0.13	520K	22	2K	0.63	0.26	26	23	331 KB	    Download
ca	6K	8K	61	2	-0.44	5K	-	99	0.07	0.04	8	7	24 KB	    Download
ca	5K	14K	81	5	0.66	145K	27	1K	0.53	0.63	44	44	45 KB	    Download
ca	12K	118K	491	19	0.63	10M	839	40K	0.61	0.66	239	239	358 KB	    Download
ca	896K	4M	2K	8	-0.05	13K	-	78	0.00	0.00	24	3	16 MB	    Download
ca	392K	874K	496	4	0.12	2M	4	2K	0.40	0.14	25	25	5 MB	    Download
ca	333K	821K	496	4	0.10	2M	5	2K	0.41	0.14	25	25	3 MB	    Download
ca	-	-	-	-	-	-	-	-	-	-	-	-	17 MB	    Download
ca	28K	5M	11K	327	0.15	3B	101K	10M	1.53	0.44	694	74	14 MB	    Download
ca	23K	3M	12K	233	0.02	934M	41K	5M	0.81	0.31	562	101	7 MB	    Download
ca	-	-	-	-	-	-	-	-	-	-	-	-	1 KB	    Download
ca	227K	814K	1K	7	0.07	8M	35	5K	0.68	0.46	87	69	2 MB	    Download
ca	540K	15M	3K	56	0.51	1B	2K	284K	0.80	0.66	337	218	37 MB	    Download
ca	226K	716K	238	6	0.30	5M	21	6K	0.64	0.38	75	59	2 MB	    Download
ca	317K	1M	343	6	0.27	7M	21	8K	0.63	0.31	114	102	4 MB	    Download
ca	1M	56M	11K	105	0.35	15B	14K	4M	0.77	0.31	2K	53	149 MB	    Download
ca	379	914	34	4	-0.08	3K	7	75	0.74	0.43	9	9	3 KB	    Download
ca	86	124	12	2	-0.26	126	1	7	0.41	0.27	5	5	2 KB	    Download
cit	13K	50K	710	7	-0.05	134K	10	2K	0.12	0.06	13	8	148 KB	    Download
cit	28K	5M	11K	327	0.15	3B	101K	10M	1.53	0.44	694	74	14 MB	    Download
cit	23K	3M	12K	233	0.02	934M	41K	5M	0.81	0.31	562	101	7 MB	    Download
cit	4M	17M	793	8	0.17	23M	5	5K	0.08	0.07	65	9	73 MB	    Download
dimacs	1K	450K	925	900	0.00	365M	365K	385K	0.90	0.90	875	53	974 KB	    Download
dimacs	125	7K	119	111	-0.02	692K	6K	6K	0.90	0.90	103	32	17 KB	    Download
dimacs	2K	1000K	1K	999	0.00	500M	250K	288K	0.50	0.50	941	14	2 MB	    Download
dimacs	2K	2M	2K	2K	0.00	3B	146M	2M	0.90	0.90	2K	56	4 MB	    Download
dimacs	250	28K	236	223	-0.01	6M	22K	25K	0.90	0.90	211	40	66 KB	    Download
dimacs	4K	4M	2K	2K	0.00	4B	100M	1M	0.50	0.50	2K	15	9 MB	    Download
dimacs	500	112K	468	449	0.00	45M	91K	98K	0.90	0.90	433	49	243 KB	    Download
dimacs	1K	250K	551	499	0.00	62M	62K	76K	0.50	0.50	460	14	554 KB	    Download
dimacs	500	63K	286	250	-0.01	8M	16K	21K	0.50	0.50	226	12	141 KB	    Download
dimacs	378	71K	374	373	0.00	26M	69K	69K	0.99	0.99	365	120	158 KB	    Download
dimacs	1K	533K	1K	1K	0.00	547M	528K	529K	1.00	1.00	1K	334	1 MB	    Download
dimacs	3K	6M	3K	3K	0.00	18B	549M	5M	1.00	1.00	3K	1K	12 MB	    Download
dimacs	45	918	41	40	0.00	34K	749	757	0.92	0.92	41	16	3 KB	    Download
dimacs	200	15K	165	148	0.00	2M	8K	10K	0.75	0.75	135	18	37 KB	    Download
dimacs	200	10K	114	98	-0.01	480K	2K	3K	0.49	0.49	85	10	24 KB	    Download
dimacs	200	12K	134	120	-0.01	873K	4K	5K	0.60	0.61	106	13	30 KB	    Download
dimacs	200	13K	147	130	-0.02	1M	6K	7K	0.66	0.66	118	14	33 KB	    Download
dimacs	400	60K	320	298	0.00	13M	33K	38K	0.75	0.75	278	22	133 KB	    Download
dimacs	400	60K	328	298	0.00	13M	33K	40K	0.75	0.75	279	22	133 KB	    Download
dimacs	400	60K	322	298	-0.01	13M	33K	39K	0.75	0.75	279	21	132 KB	    Download
dimacs	400	60K	326	298	-0.01	13M	33K	40K	0.75	0.75	278	22	133 KB	    Download
dimacs	800	208K	560	518	0.00	70M	87K	101K	0.65	0.65	488	19	457 KB	    Download
dimacs	800	208K	566	520	0.00	70M	88K	104K	0.65	0.65	487	19	459 KB	    Download
dimacs	800	207K	558	518	0.00	70M	87K	101K	0.65	0.65	484	20	458 KB	    Download
dimacs	800	208K	565	519	0.00	70M	87K	103K	0.65	0.65	486	19	458 KB	    Download
dimacs	200	2K	17	15	0.97	16K	81	100	0.73	0.73	15	12	5 KB	    Download
dimacs	200	3K	34	32	0.84	77K	383	429	0.76	0.76	33	24	8 KB	    Download
dimacs	200	8K	86	84	0.73	546K	3K	3K	0.77	0.77	84	58	21 KB	    Download
dimacs	500	4K	20	17	0.98	56K	111	141	0.74	0.74	18	14	11 KB	    Download
dimacs	500	47K	188	186	0.80	7M	13K	14K	0.77	0.77	186	126	98 KB	    Download
dimacs	500	9K	38	36	0.97	247K	494	534	0.76	0.76	36	26	22 KB	    Download
dimacs	500	23K	95	92	0.89	2M	3K	3K	0.77	0.77	93	64	50 KB	    Download
dimacs	200	18K	190	179	-0.01	3M	14K	16K	0.90	0.90	168	36	45 KB	    Download
dimacs	200	18K	190	179	-0.01	3M	14K	16K	0.90	0.90	167	40	45 KB	    Download
dimacs	400	72K	375	359	-0.01	23M	58K	63K	0.90	0.90	337	45	158 KB	    Download
dimacs	400	72K	378	359	-0.02	23M	58K	64K	0.90	0.90	337	45	159 KB	    Download
dimacs	400	72K	380	359	-0.01	23M	58K	65K	0.90	0.90	337	47	158 KB	    Download
dimacs	1K	519K	1K	1K	1	520M	508K	508K	0.99	0.99	1K	352	1 MB	    Download
dimacs	1K	434K	848	848	-	302M	295K	295K	0.82	0.82	849	35	930 KB	    Download
dimacs	64	2K	57	57	-	92K	1K	1K	0.90	0.90	58	32	5 KB	    Download
dimacs	64	704	22	22	-	3K	45	45	0.19	0.19	23	4	2 KB	    Download
dimacs	256	32K	247	247	-	8M	29K	29K	0.97	0.97	248	113	77 KB	    Download
dimacs	256	21K	163	163	-	2M	8K	8K	0.60	0.60	164	17	49 KB	    Download
dimacs	120	5K	91	91	-	360K	3K	3K	0.73	0.73	92	8	13 KB	    Download
dimacs	496	108K	435	435	-	41M	82K	82K	0.87	0.87	436	16	240 KB	    Download
dimacs	28	420	15	15	-0.04	1K	41.79	45	0.40	0.41	15	6	1 KB	    Download
dimacs	70	2K	53	53	1	72K	1K	1K	0.74	0.74	54	14	5 KB	    Download
dimacs	171	9K	124	110	-0.07	650K	4K	5K	0.63	0.63	103	9	24 KB	    Download
dimacs	776	226K	638	582	-0.03	98M	126K	151K	0.75	0.75	561	19	495 KB	    Download
dimacs	3K	5M	3K	3K	-0.02	10B	308M	4M	0.82	0.82	3K	37	10 MB	    Download
dimacs	1K	122K	408	244	-0.09	9M	9K	23K	0.29	0.28	164	10	275 KB	    Download
dimacs	1K	245K	766	489	-0.10	74M	74K	158K	0.58	0.57	328	42	549 KB	    Download
dimacs	1K	372K	895	743	-0.01	211M	211K	302K	0.76	0.76	610	57	827 KB	    Download
dimacs	2K	285K	614	379	-0.09	34M	23K	53K	0.30	0.29	253	11	657 KB	    Download
dimacs	2K	569K	1K	758	-0.09	274M	182K	372K	0.60	0.58	505	55	1 MB	    Download
dimacs	2K	847K	1K	1K	-0.01	741M	494K	676K	0.77	0.77	930	77	2 MB	    Download
dimacs	300	33K	267	222	-0.02	6M	19K	27K	0.76	0.76	181	33	77 KB	    Download
dimacs	500	32K	204	126	-0.09	1M	3K	6K	0.30	0.29	87	9	73 KB	    Download
dimacs	500	63K	389	251	-0.10	10M	20K	41K	0.60	0.58	171	33	142 KB	    Download
dimacs	500	94K	452	375	-0.01	27M	54K	77K	0.77	0.77	304	45	205 KB	    Download
dimacs	700	61K	286	174	-0.10	3M	5K	12K	0.30	0.29	118	9	138 KB	    Download
dimacs	700	122K	539	347	-0.10	27M	38K	79K	0.60	0.58	236	41	271 KB	    Download
dimacs	700	183K	627	522	-0.01	74M	105K	148K	0.76	0.76	427	55	402 KB	    Download
dimacs	1K	251K	550	501	0.67	86M	86K	101K	0.69	0.69	465	9	567 KB	    Download
dimacs	200	14K	155	139	0.07	1M	7K	9K	0.73	0.73	126	17	35 KB	    Download
dimacs	200	14K	164	139	0.26	1M	7K	10K	0.73	0.74	123	13	35 KB	    Download
dimacs	200	18K	191	179	0.04	3M	14K	16K	0.90	0.90	163	48	45 KB	    Download
dimacs	200	18K	188	179	0.00	3M	14K	16K	0.90	0.90	170	40	45 KB	    Download
dimacs	200	18K	187	179	-0.01	3M	14K	16K	0.90	0.90	170	33	45 KB	    Download
dimacs	400	40K	225	199	0.60	5M	13K	16K	0.65	0.66	184	8	94 KB	    Download
dimacs	400	56K	301	279	0.00	11M	28K	32K	0.73	0.73	262	22	126 KB	    Download
dimacs	400	56K	304	279	0.03	11M	28K	33K	0.73	0.73	260	18	126 KB	    Download
dimacs	400	56K	307	279	0.18	11M	28K	34K	0.72	0.72	254	15	126 KB	    Download
dimacs	400	72K	374	359	0.00	23M	58K	63K	0.90	0.90	345	54	158 KB	    Download
dimacs	200	14K	161	138	-0.02	1M	7K	9K	0.70	0.70	125	16	35 KB	    Download
dimacs	200	18K	189	178	-0.01	3M	14K	16K	0.90	0.90	167	37	45 KB	    Download
dimacs	400	40K	233	199	-0.01	4M	10K	14K	0.50	0.50	178	12	92 KB	    Download
dimacs	400	56K	310	279	0.00	11M	27K	34K	0.70	0.70	259	19	125 KB	    Download
dimacs10	145K	1M	26	14	0.05	6M	43	104	0.42	0.40	10	7	4 MB	    Download
dimacs10	111K	742K	26	13	0.34	4M	34	79	0.43	0.40	9	7	3 MB	    Download
dimacs10	7M	14M	4	3	0.67	-	-	-	-	-	3	2	45 MB	    Download
dimacs10	449K	3M	37	14	0.16	19M	41	122	0.41	0.40	10	7	12 MB	    Download
dimacs10	297	2K	134	15	-0.15	13K	42	427	0.31	0.20	12	8	8 KB	    Download
dimacs10	36K	2M	203	118	0.46	145M	4K	9K	0.57	0.53	75	39	18 MB	    Download
dimacs10	42K	259K	5K	12	-0.02	-	-	-	-	-	61	2	2 MB	    Download
dimacs10	50K	225K	5K	8	-0.05	-	-	-	-	-	43	2	2 MB	    Download
dimacs10	5M	43M	18	17	0.61	283M	58	60	0.40	0.39	10	4	100 MB	    Download
dimacs10	39	170	33	8	-0.38	582	14	71	0.45	0.28	7	5	1 KB	    Download
dimacs10	268K	1M	1K	8	-0.06	3M	9	4K	0.19	0.06	16	9	5 MB	    Download
dimacs10	326K	3M	18K	19	-0.19	96M	295	720K	0.49	0.01	162	13	7 MB	    Download
dimacs10	434K	16M	1K	73	0.82	3B	6K	382K	0.83	0.77	845	534	35 MB	    Download
dimacs10	540K	15M	3K	56	0.51	1B	2K	284K	0.80	0.66	337	218	35 MB	    Download
dimacs10	227K	814K	1K	7	0.07	8M	35	5K	0.68	0.46	87	14	2 MB	    Download
dimacs10	395K	1M	120K	5	-	4M	10	494K	0.15	0.00	38	9	3 MB	    Download
dimacs10	83K	3M	80	71	0.59	102M	1K	1K	0.45	0.46	42	24	33 MB	    Download
dimacs10	121K	1M	80	20	-0.01	17M	144	652	0.49	0.48	19	14	9 MB	    Download
dimacs10	22K	44K	4	3	0.32	7K	-	2	0.06	0.06	4	3	175 KB	    Download
dimacs10	17K	48K	6	5	0.75	1K	-	1	0.00	0.00	5	3	146 KB	    Download
dimacs10	1K	3K	12	5	-0.12	6K	5	12	0.44	0.38	5	4	8 KB	    Download
dimacs10	2K	6K	13	5	-0.10	12K	6	12	0.44	0.38	5	4	17 KB	    Download
dimacs10	4K	12K	14	5	-0.11	25K	6	13	0.43	0.38	5	4	33 KB	    Download
dimacs10	8K	25K	12	5	-0.13	49K	6	12	0.43	0.38	5	4	65 KB	    Download
dimacs10	16K	49K	16	5	-0.12	99K	6	15	0.43	0.38	5	4	130 KB	    Download
dimacs10	33K	98K	18	5	-0.13	198K	6	18	0.43	0.38	5	4	259 KB	    Download
dimacs10	66K	197K	17	5	-0.13	396K	6	17	0.43	0.38	5	4	518 KB	    Download
dimacs10	131K	393K	17	5	-0.14	791K	6	19	0.43	0.38	5	4	1 MB	    Download
dimacs10	262K	786K	21	5	-0.14	2M	6	21	0.43	0.38	5	4	2 MB	    Download
dimacs10	524K	2M	21	5	-0.14	3M	6	21	0.43	0.38	5	4	4 MB	    Download
dimacs10	1M	3M	23	5	-0.14	6M	6	22	0.43	0.38	5	4	8 MB	    Download
dimacs10	2M	6M	23	5	-0.15	13M	6	22	0.43	0.38	5	4	16 MB	    Download
dimacs10	4M	13M	23	5	-0.15	25M	6	22	0.43	0.38	5	4	33 MB	    Download
dimacs10	8M	25M	28	5	-0.15	51M	6	27	0.43	0.38	5	4	66 MB	    Download
